date,country,fx_lcu_per_usd,fx_return,shock_1y,shock_5y,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF,event_day,fx_return_lead1,fx_return_01
2008-08-06,idr,9063,-0.2534576264567434,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.5611501769047678,0.30769255044802435
2008-08-07,idr,9114,0.5611501769047678,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.33955890011370116,0.9007090770184689
2008-08-08,idr,9145,0.33955890011370116,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.740824828396569,1.0803837285102702
2008-08-11,idr,9213,0.740824828396569,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.38062141541530536,0.3602034129812637
2008-08-12,idr,9178,-0.38062141541530536,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.1090156000257636,-0.48963701544106897
2008-08-13,idr,9168,-0.1090156000257636,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-13.540300088188673,-13.649315688214436
2008-08-14,idr,8007,-13.540300088188673,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,13.725555957659274,0.1852558694706019
2008-08-15,idr,9185,13.725555957659274,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-08-18,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-08-19,idr,9191,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.15243905390978085,NA
2008-08-20,idr,9177,-0.15243905390978085,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.37117946545865976,-0.5236185193684406
2008-08-21,idr,9143,-0.37117946545865976,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.0328066053574716,-0.33837286010118817
2008-08-22,idr,9146,0.0328066053574716,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.12019888897309984,0.15300549433057142
2008-08-25,idr,9157,0.12019888897309984,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.2399652111359174,0.3601641001090172
2008-08-26,idr,9179,0.2399652111359174,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.15263849452846756,0.08732671660744984
