date,idr,myr,php,sgd,thb,ret_idr,ret_myr,ret_php,ret_sgd,ret_thb
2014-05-12,11536,3.2335,43.775,1.2496,32.631,-0.2337764604231296,0.2167183510752846,-1.0385630863716688,0.16017943517733224,0.20246647814579077
2014-05-13,11525,NA,43.721,NA,NA,-0.09539916598821918,NA,-0.12343422980753971,NA,NA
2014-05-14,11487,3.2235,43.781,1.2507,32.5,-0.3302627719444118,NA,0.13713974401423634,NA,NA
2014-05-15,NA,3.226,43.627,1.2507,32.418,NA,0.0775253934479192,-0.3523708570047024,0,-0.25262652457080925
2014-05-16,11415,3.2315,43.646,1.252,32.489,NA,0.17034460177960398,0.04354153128729443,0.10388781051829943,0.21877464162125548
2014-05-19,11351,3.217,43.77,1.2508,32.497,-0.5622434208557792,-0.44971774639237516,0.28370111459956604,-0.0958926076357669,0.024620687657073148
2014-05-20,11441,3.2128,43.632,1.2508,32.552,0.7897548945605237,-0.13064171816710157,-0.31578250995711876,0,0.16910333166215707
2014-05-21,11507,3.221,43.728,1.253,32.509,0.5752151122514704,0.2549039273843423,0.21978030824794104,0.17573293123820388,-0.13218366228917589
2014-05-22,11515,3.2065,43.792,1.2506,32.408,0.06949874313271209,-0.4511870742281099,0.14625231126110805,-0.19172397628706983,-0.31116681761074183
2014-05-23,11560,3.209,43.713,1.2522,32.533,0.3900329971582295,0.07793625209391308,-0.18056115984959042,0.12785681780125568,0.38496528964189203
2014-05-27,NA,3.2125,43.7,1.2545,32.591,NA,0.10900880936184354,-0.02974385982827954,0.1835082495266871,0.17812178408846968
2014-05-28,11613,3.2218,43.712,1.2552,32.657,NA,0.28907593603899606,0.027456184678031903,0.0557835612345986,0.20230512049423943
2014-05-29,NA,3.2215,43.905,1.2553,32.734,NA,-0.009311998516814413,0.4405544863633981,0.007966540533987931,0.23550652410566641
2014-05-30,11611,3.215,43.927,1.2548,32.8,NA,-0.20197319069774622,0.0500956381730866,-0.03983905076397898,0.20142223064056886
2014-06-02,11740,3.2235,43.832,1.2559,32.876,1.1048889755080893,0.2640368078955291,-0.21650209575749813,0.08762497075580633,0.23143928961557592
2014-06-03,11806,3.228,43.849,1.256,32.75,0.5606062418546998,0.13950246391645216,0.0387769304935226,0.007962100406291861,-0.3839946204992728
2014-06-04,11810,3.2335,43.84,1.2581,32.668,0.033875339077305,0.17023914968079534,-0.020527090128963366,0.16705783289412135,-0.2506956585231812
2014-06-05,11874,3.233,43.898,1.2576,32.684,0.5404505639212687,-0.015464316121427402,0.13221183170037953,-0.039750368214305776,0.04896560264318062
