shock,matching,dropped_date,side,shock_dropped,int_coef,int_se,int_pval,pre_coef,pre_se,pre_pval,int_shift,pre_shift
1Y,rolled,2020-04-03,post,-0.05625,-1.9378386270780292,0.8255067807075738,0.01896497385954267,0.49939050741824675,0.34070825677294336,0.1428201835472005,-0.020940924019279716,8.063859602447376e-6
1Y,rolled,2020-04-15,post,-0.0525,-1.7349723629602924,0.80573903496133,0.03137469614436308,0.4993768769214697,0.34070993229556573,0.1428330507888541,0.18192534009845707,-5.566637174603262e-6
5Y,exact,2008-01-17,pre,-0.05,-1.5736173727508256,0.49158069623409845,0.0013827326772864195,0.4888791087470449,0.3310392408636009,0.13983080319091276,-0.047058085872342614,0.04693823783757112
5Y,exact,2008-03-19,pre,0.045,-1.5334811293939428,0.49287919022572835,0.001879826646881502,0.4488227599834838,0.33297120731613633,0.17777879082892198,-0.006921842515459797,0.00688188907401005
5Y,exact,2008-04-16,pre,0.04,-1.52821796607296,0.492944008720294,0.0019514050883794746,0.44359498155207866,0.3330815332613227,0.1830270458473121,-0.0016586791944770418,0.0016541106426049001
5Y,exact,2008-05-12,pre,-0.02,-1.5317498201125146,0.49268572592182835,0.0018944262235529843,0.4471549697688737,0.33271537939480483,0.17906108448900626,-0.005190533234031625,0.0052140988593999404
5Y,exact,2008-09-16,pre,-0.39,-1.5386913832292055,0.5692282075262431,0.006906789639757579,0.45383533784413455,0.4381712386305714,0.30040034145097494,-0.012132096350722543,0.011894466934660786
5Y,exact,2008-10-09,pre,-0.11,-1.5888489788807019,0.4935776829251781,0.0012994856525807158,0.5042610381479145,0.3340185431909854,0.13122733139869347,-0.0622896920022189,0.062320167238440694
5Y,exact,2008-10-30,pre,0.08,-1.5919832055827814,0.49123364367114,0.0012046472346895884,0.5077075150206869,0.33057606339280143,0.12468322607523272,-0.06542391870429842,0.06576664411121314
5Y,exact,2008-11-26,pre,-0.28,-1.2789785255255168,0.45527148499085324,0.00499666699658849,0.19418739998105705,0.2741537910611978,0.4788027002041486,0.24758076135296614,-0.2477534709284167
5Y,exact,2008-12-23,pre,0.095,-1.4717219575621354,0.4923762327021365,0.0028207839196312426,0.38717478960113494,0.33228615012229656,0.24403405556614247,0.05483732931634755,-0.05476608130833882
5Y,exact,2010-01-13,pre,0.04,-1.537503056631811,0.49312134435819105,0.001838191699270433,0.45281609172315285,0.33332606071391213,0.17441118595781147,-0.010943769753328114,0.010875220813679087
5Y,exact,2010-10-20,pre,0.36,-1.5782775784877114,0.5514601217704483,0.004238096874039971,0.4935985896192008,0.41479356083560187,0.2341431989768788,-0.05171829160922847,0.05165771870972702
5Y,exact,2010-11-11,pre,0.03,-1.4960238837314268,0.49199536258002685,0.002379860621386513,0.4112799953160623,0.3316334670523211,0.21500872260202503,0.03053540314705616,-0.030660875593411463
5Y,exact,2011-02-09,pre,0.29,-1.598416139097069,0.5232250807898933,0.002270328895736186,0.5138327726041465,0.37643536244602327,0.1723536113724832,-0.07185685221858606,0.07189190169467274
5Y,exact,2011-04-06,pre,0.01,-1.5278092622726451,0.4926300731278305,0.0019438914728196878,0.44315313271522594,0.3326085701576865,0.1828413101850696,-0.0012499753941621616,0.0012122618057521795
